DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2000-Q1,14624432.4,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2000-Q2,14890785.4,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2000-Q3,14905964,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2000-Q4,14994958.3,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2001-Q1,14945805.1,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2001-Q2,15039142,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2001-Q3,14978889.3,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2001-Q4,15020047.7,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2002-Q1,15145669.1,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2002-Q2,15238467.6,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2002-Q3,15300413.7,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2002-Q4,15319325.8,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2003-Q1,15400003.8,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2003-Q2,15536389.6,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2003-Q3,15794790.8,2020,,F,1,A,6,USD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),Q,Y,USA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,LR,LA,T0102,2003-Q4,15978124.3,2020,,F,1,A,6,USD
